Country,Age,Sex,Year,Life Expectancy
Bulgaria,0 years,Total,2015,-6.9
Bulgaria,0 years,Total,2015,6.9
Bulgaria,0 years,Total,2016,74.7
Bulgaria,0 years,Total,2016,-7.3
Bulgaria,0 years,Total,2016,7.3
Bulgaria,0 years,Total,2017,74.6
Bulgaria,0 years,Total,2017,-7.1
Bulgaria,0 years,Total,2017,7.1
Bulgaria,0 years,Total,2018,74.7
Bulgaria,0 years,Total,2018,-7.1
Bulgaria,0 years,Total,2018,7.1
Bulgaria,0 years,Total,2019,74.8
Bulgaria,0 years,Total,2019,-7.3
Bulgaria,0 years,Total,2019,7.3
Bulgaria,0 years,Total,2020,73.3
Bulgaria,0 years,Total,2020,-7.7
Bulgaria,0 years,Total,2020,7.7
Bulgaria,0 years,Total,2021,71.2
Bulgaria,0 years,Total,2021,-7.3
Bulgaria,0 years,Total,2021,7.3
Bulgaria,0 years,Total,2022,74.1
Bulgaria,0 years,Total,2022,-7.4
Bulgaria,0 years,Total,2022,7.4
Bulgaria,0 years,Total,2023,75.7
Bulgaria,0 years,Total,2023,-7.6
Bulgaria,0 years,Total,2023,7.6
Bulgaria,0 years,Total,2024,75.8
Bulgaria,0 years,Total,2024,-7.3
Bulgaria,0 years,Total,2024,7.3
Canada,0 years,Total,2000,79.3
Canada,0 years,Total,2000,-5.2
Canada,0 years,Total,2000,5.2
Canada,0 years,Total,2001,79.5
Canada,0 years,Total,2001,-5.1
Canada,0 years,Total,2001,5.1
Canada,0 years,Total,2002,79.6
Canada,0 years,Total,2002,-4.9
Canada,0 years,Total,2002,4.9
Canada,0 years,Total,2003,79.8
Canada,0 years,Total,2003,-4.9
Canada,0 years,Total,2003,4.9
Canada,0 years,Total,2004,80.1
Canada,0 years,Total,2004,-4.7
Canada,0 years,Total,2004,4.7
Canada,0 years,Total,2005,80.2
Canada,0 years,Total,2005,-4.7
Canada,0 years,Total,2005,4.7
Canada,0 years,Total,2006,80.7
Canada,0 years,Total,2006,-4.6
Canada,0 years,Total,2006,4.6
Canada,0 years,Total,2007,80.7
Canada,0 years,Total,2007,-4.6
Canada,0 years,Total,2007,4.6
Canada,0 years,Total,2008,80.8
Canada,0 years,Total,2008,-4.5
Canada,0 years,Total,2008,4.5
Canada,0 years,Total,2009,81.2
Canada,0 years,Total,2009,-4.4
Canada,0 years,Total,2009,4.4
Canada,0 years,Total,2010,81.4
Canada,0 years,Total,2010,-4.3
Canada,0 years,Total,2010,4.3
Canada,0 years,Total,2011,81.6
Canada,0 years,Total,2011,-4.3
Canada,0 years,Total,2011,4.3
Canada,0 years,Total,2012,81.8
Canada,0 years,Total,2012,-4.2
Canada,0 years,Total,2012,4.2
Canada,0 years,Total,2013,81.8
Canada,0 years,Total,2013,-4.1
Canada,0 years,Total,2013,4.1
Canada,0 years,Total,2014,81.9
Canada,0 years,Total,2014,-4.1
Canada,0 years,Total,2014,4.2
Canada,0 years,Total,2015,81.9
Canada,0 years,Total,2015,-4
Canada,0 years,Total,2015,4
Canada,0 years,Total,2016,82
Canada,0 years,Total,2016,-4.1
Canada,0 years,Total,2016,4.1
Canada,0 years,Total,2017,81.9
Canada,0 years,Total,2017,-4.3
Canada,0 years,Total,2017,4.3
Canada,0 years,Total,2018,81.9
Canada,0 years,Total,2018,-4.2
Canada,0 years,Total,2018,4.2
Canada,0 years,Total,2019,82.2
Canada,0 years,Total,2019,-4.2
Canada,0 years,Total,2019,4.2
Canada,0 years,Total,2020,81.6
Canada,0 years,Total,2020,-4.5
Canada,0 years,Total,2020,4.5
Canada,0 years,Total,2021,81.5
Canada,0 years,Total,2021,-4.8
Canada,0 years,Total,2021,4.8
Canada,0 years,Total,2022,81.1
Canada,0 years,Total,2022,-4.5
Canada,0 years,Total,2022,4.5
Canada,0 years,Total,2023,81.7
Canada,0 years,Total,2023,-4.4
Canada,0 years,Total,2023,4.4
Canada,0 years,Total,2024,82.2
Canada,0 years,Total,2024,-4.3
Canada,0 years,Total,2024,4.3
Chile,0 years,Total,2000,77
Chile,0 years,Total,2000,-6.2
Chile,0 years,Total,2000,6.2
Chile,0 years,Total,2001,76.9
Chile,0 years,Total,2001,-6.3
Chile,0 years,Total,2001,6.3
Chile,0 years,Total,2002,77.5
Chile,0 years,Total,2002,-6.4
Chile,0 years,Total,2002,6.4
Chile,0 years,Total,2003,77.5
Chile,0 years,Total,2003,-6.2
Chile,0 years,Total,2003,6.2
Chile,0 years,Total,2004,77.6
Chile,0 years,Total,2004,-6.2
Chile,0 years,Total,2004,6.2
Chile,0 years,Total,2005,78
Chile,0 years,Total,2005,-6.1
Chile,0 years,Total,2005,6.1
Chile,0 years,Total,2006,78.4
Chile,0 years,Total,2006,-5.9
Chile,0 years,Total,2006,5.9
Chile,0 years,Total,2007,77.9
Chile,0 years,Total,2007,-6
Chile,0 years,Total,2007,6
Chile,0 years,Total,2008,78.6
Chile,0 years,Total,2008,-6
Chile,0 years,Total,2008,6
Chile,0 years,Total,2009,78.8
Chile,0 years,Total,2009,-6.1
Chile,0 years,Total,2009,6.1
Chile,0 years,Total,2010,78.6
Chile,0 years,Total,2010,-5.8
Chile,0 years,Total,2010,5.8
Chile,0 years,Total,2011,79.2
Chile,0 years,Total,2011,-5.7
Chile,0 years,Total,2011,5.7
Chile,0 years,Total,2012,79.3
