Country,Age,Sex,Year,Life Expectancy
Belgium,0 years,Female,2017,83.7
Belgium,0 years,Female,2018,83.7
Belgium,0 years,Female,2019,84.0
Belgium,0 years,Female,2020,83.1
Belgium,0 years,Female,2021,84.1
Belgium,0 years,Female,2022,83.8
Belgium,0 years,Female,2023,84.3
Belgium,0 years,Female,2024,84.4
Brazil,0 years,Female,2000,73.0
Brazil,0 years,Female,2001,73.4
Brazil,0 years,Female,2002,73.8
Brazil,0 years,Female,2003,74.3
Brazil,0 years,Female,2004,74.8
Brazil,0 years,Female,2005,75.3
Brazil,0 years,Female,2006,75.7
Brazil,0 years,Female,2007,76.2
Brazil,0 years,Female,2008,76.6
Brazil,0 years,Female,2009,76.9
Brazil,0 years,Female,2010,77.3
Brazil,0 years,Female,2011,77.5
Brazil,0 years,Female,2012,77.8
Brazil,0 years,Female,2013,78.1
Brazil,0 years,Female,2014,78.3
Brazil,0 years,Female,2015,78.5
Brazil,0 years,Female,2016,78.5
Brazil,0 years,Female,2017,78.8
Brazil,0 years,Female,2018,79.0
Brazil,0 years,Female,2019,79.0
Brazil,0 years,Female,2020,77.6
Brazil,0 years,Female,2021,76.4
Brazil,0 years,Female,2022,78.1
Brazil,0 years,Female,2023,79.0
Brazil,0 years,Female,2024,79.1
Bulgaria,0 years,Female,2000,75.0
Bulgaria,0 years,Female,2001,75.4
Bulgaria,0 years,Female,2002,75.5
Bulgaria,0 years,Female,2003,75.9
Bulgaria,0 years,Female,2004,76.2
Bulgaria,0 years,Female,2005,76.2
Bulgaria,0 years,Female,2006,76.3
Bulgaria,0 years,Female,2007,76.6
Bulgaria,0 years,Female,2008,77.0
Bulgaria,0 years,Female,2009,77.4
Bulgaria,0 years,Female,2010,77.4
Bulgaria,0 years,Female,2011,77.8
Bulgaria,0 years,Female,2012,77.9
Bulgaria,0 years,Female,2013,78.6
Bulgaria,0 years,Female,2014,77.9
Bulgaria,0 years,Female,2015,78.0
Bulgaria,0 years,Female,2016,78.4
Bulgaria,0 years,Female,2017,78.2
Bulgaria,0 years,Female,2018,78.3
Bulgaria,0 years,Female,2019,78.5
Bulgaria,0 years,Female,2020,77.3
Bulgaria,0 years,Female,2021,75.0
Bulgaria,0 years,Female,2022,77.9
Bulgaria,0 years,Female,2023,79.5
Bulgaria,0 years,Female,2024,79.5
Canada,0 years,Female,2000,81.8
Canada,0 years,Female,2001,82.0
Canada,0 years,Female,2002,82.0
Canada,0 years,Female,2003,82.2
Canada,0 years,Female,2004,82.4
Canada,0 years,Female,2005,82.5
Canada,0 years,Female,2006,82.9
Canada,0 years,Female,2007,82.9
Canada,0 years,Female,2008,83.1
Canada,0 years,Female,2009,83.3
Canada,0 years,Female,2010,83.5
Canada,0 years,Female,2011,83.7
Canada,0 years,Female,2012,83.8
Canada,0 years,Female,2013,83.9
Canada,0 years,Female,2014,83.9
Canada,0 years,Female,2015,83.9
Canada,0 years,Female,2016,84.0
Canada,0 years,Female,2017,84.0
Canada,0 years,Female,2018,84.0
Canada,0 years,Female,2019,84.3
Canada,0 years,Female,2020,83.8
Canada,0 years,Female,2021,83.9
Canada,0 years,Female,2022,83.4
Canada,0 years,Female,2023,83.9
Canada,0 years,Female,2024,84.3
Chile,0 years,Female,2000,80.2
Chile,0 years,Female,2001,80.1
Chile,0 years,Female,2002,80.7
Chile,0 years,Female,2003,80.7
Chile,0 years,Female,2004,80.7
Chile,0 years,Female,2005,81.1
Chile,0 years,Female,2006,81.4
Chile,0 years,Female,2007,81.0
Chile,0 years,Female,2008,81.6
Chile,0 years,Female,2009,81.9
Chile,0 years,Female,2010,81.6
Chile,0 years,Female,2011,82.1
Chile,0 years,Female,2012,82.0
Chile,0 years,Female,2013,82.4
Chile,0 years,Female,2014,82.5
Chile,0 years,Female,2015,82.7
Chile,0 years,Female,2016,83.0
Chile,0 years,Female,2017,83.1
Chile,0 years,Female,2018,83.5
Chile,0 years,Female,2019,83.6
Chile,0 years,Female,2020,82.8
Chile,0 years,Female,2021,82.1
Chile,0 years,Female,2022,82.5
Chile,0 years,Female,2023,83.7
Chile,0 years,Female,2024,83.7
Chile,0 years,Female,2025,84.0
China (People’s Republic of),0 years,Female,2000,74.9
China (People’s Republic of),0 years,Female,2001,75.3
China (People’s Republic of),0 years,Female,2002,75.7
China (People’s Republic of),0 years,Female,2003,76.0
China (People’s Republic of),0 years,Female,2004,76.4
China (People’s Republic of),0 years,Female,2005,76.8
China (People’s Republic of),0 years,Female,2006,77.1
China (People’s Republic of),0 years,Female,2007,77.4
China (People’s Republic of),0 years,Female,2008,77.5
China (People’s Republic of),0 years,Female,2009,78.0
China (People’s Republic of),0 years,Female,2010,78.3
China (People’s Republic of),0 years,Female,2011,78.7
China (People’s Republic of),0 years,Female,2012,79.0
China (People’s Republic of),0 years,Female,2013,79.2
China (People’s Republic of),0 years,Female,2014,79.5
China (People’s Republic of),0 years,Female,2015,79.8
China (People’s Republic of),0 years,Female,2016,80.1
China (People’s Republic of),0 years,Female,2017,80.3
China (People’s Republic of),0 years,Female,2018,80.6
China (People’s Republic of),0 years,Female,2019,80.7
China (People’s Republic of),0 years,Female,2020,81.0
China (People’s Republic of),0 years,Female,2021,80.9
China (People’s Republic of),0 years,Female,2022,81.1
China (People’s Republic of),0 years,Female,2023,80.9
China (People’s Republic of),0 years,Female,2024,81.0
Colombia,0 years,Female,2000,75.0
Colombia,0 years,Female,2001,75.4
Colombia,0 years,Female,2002,75.7
Colombia,0 years,Female,2003,76.1
Colombia,0 years,Female,2004,76.5
Colombia,0 years,Female,2005,76.8
Colombia,0 years,Female,2006,77.0
Colombia,0 years,Female,2007,77.3
Colombia,0 years,Female,2008,77.5
Colombia,0 years,Female,2009,77.7
Colombia,0 years,Female,2010,77.9
Colombia,0 years,Female,2011,78.1
Colombia,0 years,Female,2012,78.3
Colombia,0 years,Female,2013,78.5
Colombia,0 years,Female,2014,78.7
Colombia,0 years,Female,2015,78.9
Colombia,0 years,Female,2016,79.1
Colombia,0 years,Female,2017,79.3
Colombia,0 years,Female,2018,78.1
Colombia,0 years,Female,2019,78.3
Colombia,0 years,Female,2020,77.4
Colombia,0 years,Female,2021,77.4
